Run,Generation,Leg Index,Individual Index,Fitness,Amplitude,Phase,Offset
1,0,0,0,6.982986860941357,"[0.32420235451846957, 0.29401571233448315, 0.2187966913489156]","[2.38270274438581, 4.534261669911467, 1.9326663619416486]","[0.08498525356888242, 0.3183366500325199, 0.33138978203241776]"
1,0,1,0,6.982724206136956,"[0.36769619572399886, 0.033435211147286925, 0.48073267617394866]","[4.135450029354909, 1.0153320361573241, 3.833616695270085]","[0.08631176218338155, 0.19306269755971162, 0.018750935184561834]"
1,0,3,0,6.982187930792479,"[0.20975765439138577, 0.17319572821005985, 0.1318624253641868]","[2.513731831574552, 1.9749333742486925, 3.7939768722277245]","[0.15135447007819125, -0.3642520480596294, -0.3682236196058092]"
1,0,4,0,6.981916403399237,"[0.27740895276150446, 0.4563119690298888, 0.13032016603155766]","[5.949586140129463, 4.360857371057884, 5.506595789673007]","[0.11150355603108253, -0.039579848883041224, -0.1667678575203022]"
1,0,5,0,6.981645971661029,"[0.20629698562916604, 0.4841172636072282, 0.2808446253167486]","[0.3735945797334908, 5.611486404255233, 1.8844997020081293]","[-0.2457951586230882, 0.2621385736115319, 0.48192309736008154]"
1,0,0,1,5.722232332175099,"[0.08694790164625443, 0.33834000075109394, 0.44898671651682825]","[5.0246768099399315, 5.650385746565032, 2.1814411001431457]","[-0.18629836405691913, -0.018756470697863126, -0.07263682475157318]"
1,0,1,1,5.72234052928893,"[0.29938118626803595, 0.13124600381429724, 0.2701764533439865]","[0.49721060636495235, 3.2570313439558274, 5.25537603629193]","[-0.22968196227516002, 0.23985926301892524, -0.30937226235132453]"
1,0,3,1,5.7225692500019125,"[0.12877116404655364, 0.41989335009788137, 0.414641267310649]","[1.1460516628959214, 1.2685887836349807, 0.15569288582198276]","[-0.4838583459378095, 0.2829351356395894, -0.32838811492354436]"
1,0,4,1,5.722688872596647,"[0.08207965144429896, 0.2963675504550698, 0.26420056001252157]","[3.630221361557091, 0.7384688819524646, 1.7909625822274622]","[-0.2636802419544998, -0.0004142602778967053, 0.3417658940964423]"
1,0,5,1,5.7228123408269544,"[0.1869164854299894, 0.06912875431061766, 0.09132712295945777]","[1.6056501308892464, 5.847489244219299, 5.9897891156113765]","[0.2744735741423948, 0.18938933977070838, 0.09181458799108688]"
1,0,0,2,7.24512494895449,"[0.3549227803858728, 0.3199787493944355, 0.3740911467521992]","[0.9655101001323012, 1.2275860313689457, 0.99686247822765]","[0.30727461143885704, -0.3315857435410784, -0.3912065799925222]"
1,0,1,2,7.245290867469768,"[0.4244406990564999, 0.3472323957434679, 0.4503703348976954]","[3.485650750247617, 6.196626081381447, 4.937318184530955]","[-0.373200674724915, 0.27473001779880424, -0.04532648680931661]"
1,0,3,2,7.24559823347948,"[0.21775195661404367, 0.2975508864409414, 0.41269153535483144]","[0.4752140799909511, 3.2138101120484457, 2.510090562740565]","[0.4015642880682282, -0.23105787004154754, 0.3383035371722487]"
1,0,4,2,7.245739667765363,"[0.18338465796889908, 0.2909451983693329, 0.49658177671547543]","[5.910162806535014, 5.646253105254242, 4.368986465675198]","[-0.4593480846583786, 0.05628520895581135, 0.31446949297999893]"
1,0,5,2,7.245876064094675,"[0.10782671643616087, 0.3324176253841356, 0.25759248879031443]","[5.9094815488677686, 3.0518197924135255, 0.7332566175785145]","[-0.12333124886258595, -0.22908164725590907, -0.3574613767748881]"
1,0,0,3,7.213243488811822,"[0.01849565680227272, 0.08252828815711272, 0.1737001608448619]","[1.6465641480378017, 2.350180184536899, 0.6896045663699053]","[-0.2572384269285036, 0.12127318408604126, 0.1064063851210224]"
1,0,1,3,7.213321020252806,"[0.32971771541928757, 0.10215337129223195, 0.46291081296394865]","[2.1169780211689484, 2.5259344699438273, 1.3358332922026057]","[-0.05071950514976076, -0.35708554289470185, -0.4404827661442754]"
1,0,3,3,7.213475276960756,"[0.4032163041541228, 0.11387171159661869, 0.4778861821680071]","[2.7142111002190963, 2.9092669907542796, 3.421922080407546]","[0.03214588208937719, -0.2856015632018777, 0.41100367249383296]"
1,0,4,3,7.213551992500705,"[0.02483459817808875, 0.26985456291352233, 0.02361015154924745]","[2.4579393146978057, 4.6545871030073975, 0.6522661901523558]","[0.3325576509864048, 0.05872331630918237, -0.046948944637299594]"
1,0,5,3,7.213628436989794,"[0.13573643984359707, 0.09513417314460709, 0.019530608428924845]","[1.8927800641685741, 1.6814189789617946, 4.322887522362163]","[0.4225159052729017, -0.49538863535829936, 0.19142990382124792]"
1,0,0,4,11.290682974400802,"[0.32312363486930296, 0.3301361916993144, 0.40563736106110226]","[0.21369550391709052, 4.769134075180106, 3.6414266019490986]","[-0.2465252962649559, -0.06699762795739628, -0.22093302770879508]"
1,0,1,4,11.29053167814796,"[0.22634952032775968, 0.3203128328717995, 0.06659849882221425]","[2.881036701834525, 2.813372507835769, 4.01100169455995]","[-0.44875851658306776, 0.2649148824225519, -0.4954197308221159]"
1,0,3,4,11.290228117701165,"[0.48960115640793994, 0.19320055261466607, 0.20147209494539803]","[5.144488873175798, 4.19347425160455, 1.8819133736351952]","[0.09837994923561333, -0.005780434797030498, -0.41584064678712884]"
1,0,4,4,11.317860059858003,"[0.4989402285132107, 0.18028979062256445, 0.36653493812633525]","[5.528327052283586, 4.8336834443858825, 5.851323181121446]","[0.1815470438254948, 0.20564405110512562, -0.22347547618083252]"
1,0,5,4,11.371174890404433,"[0.24565727881121963, 0.2276639936416575, 0.15035785747968416]","[5.555855044416725, 5.157972766636495, 4.797453879195112]","[0.37841593195967904, -0.1942456664285458, 0.08333425491454616]"
1,0,0,5,9.01149993562158,"[0.3094589172471508, 0.07450454578325771, 0.3395311011682525]","[2.1043126447872416, 0.9597911194510305, 5.636427169736429]","[0.25206340596732413, -0.09748416790478698, -0.15860680487772827]"
1,0,1,5,9.011720494934155,"[0.07122339602069327, 0.2455505086669998, 0.006458401656289858]","[2.9435516265505974, 5.395720305466397, 0.02670515577565562]","[-0.4118329809260576, -0.11131929612791325, -0.18787459755386693]"
1,0,3,5,9.01216308789079,"[0.36948484028492923, 0.03826128785479388, 0.35009849111806096]","[1.0133105826628857, 1.5101095184218787, 3.6013567912380173]","[0.00044800138920952914, -0.14424473186473674, -0.440236514585431]"
1,0,4,5,9.012389623329604,"[0.2041523306670095, 0.39513491441182125, 0.05733373125879493]","[0.19062328869541872, 5.579177201753629, 5.042257956929743]","[0.11039453657167275, 0.08157255605201186, 0.2728346762168864]"
1,0,5,5,9.012622109839548,"[0.33696434366374006, 0.41936197877456727, 0.2276556112456476]","[5.557533304033095, 1.8989604328932557, 1.0258504426863442]","[0.2610969822873226, 0.39086714425644153, -0.128307118608039]"
1,0,0,6,5.449550698368093,"[0.27466875951819975, 0.4106034741722973, 0.2312239856372429]","[1.691090229074928, 1.9198062121034882, 2.234258062518512]","[0.16875301954891153, -0.05634829032853772, 0.12918024597524858]"
1,0,1,6,5.449423222034542,"[0.06544587527368667, 0.4530729672626144, 0.15495734878977102]","[4.855788790636791, 3.4189520240448212, 1.7985510117942776]","[-0.4476557084354177, -0.2158159300614091, -0.2233700747014774]"
1,0,3,6,5.4491696721023795,"[0.23072813324330388, 0.368276915260449, 0.30819452032799743]","[6.251669019764638, 0.033728368790181304, 0.11613781232529136]","[0.17126407473522143, -0.4335693095280744, 0.09718442579258568]"
1,0,4,6,5.449045413581832,"[0.44977049126794333, 0.4723666120854305, 0.09508729860862791]","[5.3974212541533975, 4.719522278529663, 5.851901273989891]","[0.4344956561208949, -0.2556036395028384, 0.19405811226812653]"
1,0,5,6,5.448922188780887,"[0.19887073817964046, 0.1993626583234761, 0.26990632588996066]","[0.8291175342577078, 1.2495972112820106, 3.8283361328569465]","[-0.3418791824312676, -0.09106978401910648, 0.4607470440845294]"
1,0,0,7,6.3691661691722175,"[0.4339470663022215, 0.3309704693851452, 0.14377319639770497]","[5.451020878509739, 3.6966170298601573, 4.608057681621042]","[0.05071819642523778, 0.3059035830743285, 0.37524616499639574]"
1,0,1,7,6.368450454643172,"[0.21859082252120254, 0.44090010846187133, 0.2234904621595863]","[2.727114871292073, 4.913239733771081, 0.4538727724075229]","[-0.047789518292046584, -0.3078426618989043, 0.19984779360944116]"
